id,entreport_name
44,北京市昌平区 回龙观东大街辅路
45,北京市通州区 潞邑西路9号院10号楼附近
46,北京市昌平区 龙跃苑东二区18正西方向36米
47,北京市海淀区 西北旺后场村路冬晴园底商10号楼
48,天津市 管庄优点社区8号楼8-1底商
49,廊坊 茶马街与马连道路交叉路口往西约50米(戎晖嘉园)
50,廊坊 成府路与展春园西路交叉路口往西约100米(五道口购物中心)
51,邯郸 上地街道上地东路35号颐泉汇一层
52,北京市昌平区 南横东街四平园小区八号楼底商
0,北京市通州区 西北旺地铁站xx
53,北京市房山区 良乡西潞园小区
10,北京市朝阳区 朝阳路辅路
54,北京市通州区 海清街道上地东路35号颐泉汇一层
11,北京市朝阳区 南三环西路91号宝隆大厦底商
55,北京市朝阳区 莲怡园北路2号院永翌公馆2号楼底商
12,北京市朝阳区 望京澳洲康都7号楼
56,北京市西城区 G6辅路
57,北京市西城区 通朝大街葵花社32号楼3单元1701京客隆
13,北京市朝阳区 柳芳南里13号楼底商
14,北京市西城区 通朝大街葵花社32号楼3单元1701京客隆
58,北京市朝阳区 柳芳南里13号楼底商
15,北京市昌平区 朱辛庄西路与朱辛庄中路交叉路口西南侧(领秀慧谷)
59,北京市西城区 南彩镇彩苑小区6号楼京东快递
16,北京市海淀区 万泉河路68号紫金庄园门口
17,北京市西城区 阜通西大街18号都市心海岸雅园18号院1号楼底商
18,北京市东城区 北河沿大街甲83号北附近
19,北京市房山区 良乡镇行宫园二里5号楼
6,北京市西城区 体育场南街7号院4号楼
1,北京市海淀区 西马坊路
2,北京市海淀区 海淀中街15号1-J北70米
3,北京市朝阳区 公园北路
4,北京市朝阳区 方庄东路
5,北京市西城区 怡和中心写字楼底商
7,北京市朝阳区 建国路与东三环中路交叉路口往东南约100米(招商局大厦)
8,北京市通州区 辛房路与房辛店西路交叉路口往东南约50米
9,北京市海淀区 林大北路林业大学北门18号院9号楼1层
20,北京市通州区 上香胡同与上园南街交叉路口西南侧(西上园)
21,北京市朝阳区 幺家店路2号院8-1附近
22,北京市昌平区 宁馨苑28号楼低商京东快递站
23,北京市西城区 西三环太平桥西里25号楼
24,北京市丰台区 和义街道世嘉丽晶四号楼
25,北京市西城区 魏永路70号北京威卡威北厂
26,北京市朝阳区 定福庄路102号院9号楼附近
27,北京市西城区 建材城西路富驿商旅酒店南门
28,北京市丰台区 金盏南路5号
29,北京市顺义区 X010(顺白路)
30,北京市丰台区 小店村新街3-2号附近
31,北京市朝阳区 周家庄路133号
32,北京市朝阳区 广安门外街道天宁寺东里9号楼南侧底商
33,北京市大兴区 黄村镇文新南街272号院11号楼
34,北京市大兴区 采育镇采伟路奥宇科研生产基地
35,北京市通州区 辛房路
36,北京市房山区 S208(阎河路)
37,北京市通州区 朱辛路
38,北京市大兴区 北京威卡威北厂北
39,北京市大兴区 黄村镇狼各庄村北京威卡威汽车零部件股份有限公司北门
40,北京市大兴区 马驹桥镇兴贸一街14号
41,北京市朝阳区 大鲁店北路30号
42,北京市大兴区 南磨房百子湾沿海赛洛城111号楼5
43,北京市大兴区 大孙各庄镇七大路与龙塘路交叉口南200米