date,date_block_num,entreport_id,item_id,item_price,item_cnt_day
2017-01-02,0,59,22154,999.0,1.0
2017-01-03,0,25,2552,899.0,1.0
2017-01-05,0,25,2552,899.0,-1.0
2017-01-06,0,25,2554,1709.05,1.0
2017-01-15,0,25,2555,1099.0,1.0
2017-01-10,0,25,2564,349.0,1.0
2017-01-02,0,25,2565,549.0,1.0
2017-01-04,0,25,2572,239.0,1.0
2017-01-11,0,25,2572,299.0,1.0
2017-01-03,0,25,2573,299.0,3.0
2017-01-03,0,25,2574,399.0,2.0
2017-01-05,0,25,2574,399.0,1.0
2017-01-07,0,25,2574,399.0,1.0
2017-01-08,0,25,2574,399.0,2.0
2017-01-10,0,25,2574,399.0,1.0
2017-01-11,0,25,2574,399.0,2.0
2017-01-13,0,25,2574,399.0,1.0
2017-01-16,0,25,2574,399.0,1.0
2017-01-26,0,25,2574,399.0,1.0